Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HELO,AELO
E1,08/02/2020,Wigan,Preston,1,2,A,0,1,A,12,15,4,4,13,10,11,8,1,3,0,0,2.8,3.2,2.6,1426.741943,1518.602905
E1,12/02/2019,Millwall,Sheffield Weds,0,0,D,0,0,D,10,9,6,2,14,13,5,4,1,2,0,0,2.2,3.3,3.75,1426.771729,1446.871094
E1,13/04/2019,Reading,Brentford,2,1,H,2,1,H,11,15,4,8,14,14,3,12,4,1,0,0,3.2,3.8,2.25,1427.930054,1515.926514
E1,05/05/2019,Wigan,Millwall,1,0,H,1,1,H,15,10,4,3,17,11,5,8,0,0,0,0,2.15,3.6,3.5,1430.24646,1443.44519
E1,15/07/2020,Birmingham,Charlton,1,1,D,0,1,D,23,7,7,3,16,10,5,1,3,1,0,0,2.3,3.25,3.25,1430.652344,1404.565186
E1,01/10/2019,Wigan,Birmingham,1,0,H,0,1,D,12,12,3,0,9,14,7,6,0,0,0,0,2.5,3.2,3,1430.763428,1489.508301
E1,19/10/2019,Reading,Preston,1,0,H,0,1,D,12,12,6,4,9,14,9,6,2,2,0,0,2.87,3.4,2.45,1430.805298,1545.781494
E1,30/03/2019,QPR,Bolton,1,2,A,0,1,A,21,12,7,6,9,12,9,1,0,1,0,0,1.66,3.8,6,1430.841553,1324.4646
E1,22/12/2018,Sheffield Weds,Preston,1,0,H,0,0,D,16,4,4,1,22,13,5,4,1,3,0,1,3.25,3.4,2.37,1430.943237,1487.98291
E1,26/01/2019,Blackburn,Hull,3,0,H,2,0,H,11,4,4,2,15,9,6,3,1,1,0,0,2.3,3.5,3.25,1431.297363,1505.229248
E1,07/12/2019,QPR,Preston,2,0,H,1,1,H,11,8,6,3,14,19,2,2,2,2,0,0,2.25,3.6,3,1432.406616,1521.744507
E1,31/08/2019,Wigan,Barnsley,0,0,D,0,1,D,12,13,4,3,12,18,6,7,1,4,0,1,2.2,3.5,3.2,1432.766113,1402.190063
